# CFRU hook symbols resolved against Radical Red v4.1
# ROM pinned by ../rom.sha1. Generated by tools/resolve_cfru_hooks.py — do not hand-edit.
# 539 resolved, 84 unresolved (of 623 hooks)
#
# name  vanilla_hook_addr  rr_compiled_addr (Thumb bit set)

GiveEggFromDaycare                                      0x080460D4  0x09087A31
CreateEgg                                               0x08046150  0x0908789D
IsEggPending                                            0x080463FC  0x090881DD
TriggerPendingDaycareEgg                                0x080459F0  0x090881C9
FlameBodyMagmaArmorEggHook                              0x08046390  0x09042F8D
CreateHatchedMon                                        0x08046BFC  0x090881F1
OvalCharmHook                                           0x08046314  0x09042FB1
DaycareInheritHiddenAbility                             0x08046116  0x09000175
CreateBoxMonHook                                        0x0803DAD2  0x09044B19
CanMonLearnTMHM                                         0x08043C2C  0x090A54C9
CanMonLearnTMTutor                                      0x08120B20  0x090A5909
ItemIdToBattleMoveId                                    0x08125A78  0x090A5755
LoadTMNameWithNo                                        0x08131D48  0x090A5791
SortTmHms                                               0x0809A624  0x09044CAD
FixTmHmDiscLoader                                       0x081336BC  0x09044CCD
FixTmHmDiscLoader2                                      0x08133854  0x09044CE1
FixTmHmDiscPos                                          0x08133798  0x09044D21
FixTmHmDiscPal                                          0x08133748  0x09044CF5
CheckIsHmMove                                           0x08125A90  0x090A5A31
CheckIsHmMove                                           0x080441B8  0x090A5A31
FixMartTmListing                                        0x0809B4A4  0x09044C45
TmMartDescriptionFix                                    0x0809B340  0x09044C55
GetExpandedTutorMove                                    0x08120BA8  0x090A5669
DracoMeteorMoveTutorHook                                0x08126E6C  0x09043245
DracoMeteorMoveTutorHook2                               0x08126E74  0x0904325D
